VCN.TO,Daily Ret,Ret Sqd,Est Var,Vol,Est Vol,,,
$25.19,,,,,,,omega,0.00000
$23.65,-2.1444%,0.0470%,0.0101%,2.1673%,1.0044%,,,
$23.43,-0.9362%,0.0092%,0.0135%,0.9592%,1.1631%,,,
$23.43,0.0000%,0.0000%,0.0129%,0.0230%,1.1371%,,,
$23.43,0.0000%,0.0000%,0.0115%,0.0230%,1.0733%,,,
$22.81,-2.6860%,0.0734%,0.0103%,2.7090%,1.0137%,,,
$22.73,-0.3457%,0.0014%,0.0162%,0.3686%,1.2740%,,,
$23.16,1.8678%,0.0340%,0.0146%,1.8448%,1.2067%,,,
$23.37,0.9397%,0.0084%,0.0162%,0.9167%,1.2739%,,,
$23.37,0.0000%,0.0000%,0.0152%,0.0230%,1.2344%,,,
$23.83,1.9267%,0.0362%,0.0136%,1.9037%,1.1642%,,,
$23.99,0.6584%,0.0040%,0.0156%,0.6354%,1.2471%,,,
$24.54,2.2708%,0.0505%,0.0142%,2.2478%,1.1925%,,,
$24.54,0.0000%,0.0000%,0.0175%,0.0230%,1.3234%,,,
$24.54,0.0000%,0.0000%,0.0156%,0.0230%,1.2475%,,,
$24.31,-0.9309%,0.0091%,0.0138%,0.9539%,1.1765%,,,
$24.40,0.3591%,0.0011%,0.0132%,0.3361%,1.1488%,,,
$24.40,0.0000%,0.0000%,0.0119%,0.0230%,1.0891%,,,
$24.40,0.0000%,0.0000%,0.0106%,0.0230%,1.0285%,,,
$24.09,-1.2624%,0.0165%,0.0094%,1.2854%,0.9718%,,,
$24.33,0.9753%,0.0091%,0.0100%,0.9523%,1.0016%,,,
$24.48,0.6449%,0.0039%,0.0098%,0.6220%,0.9917%,,,
$24.48,0.0000%,0.0000%,0.0092%,0.0230%,0.9571%,,,
$24.48,0.0000%,0.0000%,0.0082%,0.0230%,0.9052%,,,
$24.20,-1.1856%,0.0146%,0.0073%,1.2085%,0.8569%,,,
$24.06,-0.5799%,0.0036%,0.0080%,0.6028%,0.8941%,,,
$23.78,-1.1700%,0.0142%,0.0075%,1.1930%,0.8669%,,,
$23.78,0.0000%,0.0000%,0.0081%,0.0230%,0.9006%,,,
$23.78,0.0000%,0.0000%,0.0073%,0.0230%,0.8525%,,,
$23.94,0.6964%,0.0045%,0.0065%,0.6734%,0.8078%,,,
$24.01,0.2918%,0.0007%,0.0063%,0.2688%,0.7941%,,,
$23.81,-0.8411%,0.0075%,0.0057%,0.8641%,0.7580%,,,
$23.81,0.0000%,0.0000%,0.0059%,0.0230%,0.7681%,,,
$23.62,-0.8112%,0.0070%,0.0053%,0.8342%,0.7292%,,,
$23.55,-0.2966%,0.0010%,0.0055%,0.3196%,0.7398%,,,
$23.09,-1.9877%,0.0404%,0.0050%,2.0106%,0.7099%,,,
$22.97,-0.4937%,0.0027%,0.0084%,0.5166%,0.9190%,,,
$22.97,0.0000%,0.0000%,0.0078%,0.0230%,0.8843%,,,
$22.97,0.0000%,0.0000%,0.0070%,0.0230%,0.8374%,,,
$23.35,1.6236%,0.0256%,0.0063%,1.6007%,0.7937%,,,
$23.34,-0.0375%,0.0000%,0.0081%,0.0604%,0.9019%,,,
$23.57,1.0065%,0.0097%,0.0073%,0.9836%,0.8539%,,,
