"","VCN.TO","VEE.TO","VFV.TO","VVL.TO","VAB.TO","VBU.TO","XSU.TO"
"166",28.78964,28.260668,51.382027,28.913408,22.764713,22.754164,28.735601
"167",28.924046,28.627327,51.870041,29.135466,22.755718,22.754164,28.966255
"168",28.78964,28.700659,51.860649,29.172474,22.791685,22.763323,28.822098
"169",28.682117,28.645664,51.757427,29.107706,22.854626,22.799934,28.629887
"170",28.243057,28.324827,51.813728,28.959671,22.95463,22.891462,28.610666
"171",28.252018,28.324827,52.095284,29.172474,22.891562,22.836544,28.898983
"172",28.036972,28.379826,52.461281,29.246494,22.918585,22.809084,28.466507
"173",28.386427,28.902328,53.381001,29.847893,22.828501,22.718405,29.05275
"174",28.287859,28.526495,53.315304,29.607332,22.837503,22.681753,28.677937
"175",28.431229,28.746498,53.268379,29.662848,22.855524,22.681753,28.629887
"176",28.467068,28.84733,53.230843,29.413036,22.855524,22.690914,28.437674
"177",28.431229,28.87483,53.09008,29.339016,22.801464,22.635944,28.255072
"178",28.243057,28.764828,53.30592,29.468548,22.747419,22.590145,28.072472
"179",28.234098,28.553999,53.399776,29.403784,22.711386,22.526026,27.918701
"180",28.234098,28.673161,53.381001,29.570322,22.711386,22.562664,28.06286
"181",28.296822,29.012327,53.362232,29.607332,22.612284,22.507702,28.178188
"182",28.036972,28.929825,53.34346,29.514809,22.684364,22.507702,27.995586
"183",28.278902,29.241491,53.061913,29.468548,22.774443,22.635944,28.456896
"184",28.368505,29.525656,53.146378,29.644342,22.765442,22.617632,28.495335
"185",28.22514,29.470659,53.043152,29.570322,22.828501,22.672592,28.601053
"186",28.135532,29.791491,52.996227,29.44079,22.855524,22.690914,28.466507
"187",27.884645,29.452326,52.376831,29.005932,22.873543,22.782522,27.668829
"188",27.956722,29.504669,52.311134,28.904158,22.942163,22.791677,27.639997
"189",28.100878,29.559763,52.339283,29.116962,22.951193,22.782522,27.822598
"190",28.145922,29.715874,52.422222,29.14472,22.978277,22.810003,27.832207
"191",28.245031,29.614861,52.365685,29.209486,23.041475,22.828318,27.899485
"192",28.434233,29.697506,52.770943,29.431538,22.978277,22.782522,28.110914
"193",28.560364,29.624044,52.629566,29.385277,23.041475,22.791677,28.20702
"194",28.407202,29.486301,52.789806,29.487055,22.987305,22.782522,28.418453
"195",28.380171,29.19245,52.525902,29.376024,22.987305,22.782522,28.543392
"196",28.443237,29.568951,52.780373,29.27425,23.06856,22.849506,28.178188
"197",28.587391,29.715874,52.893471,29.320513,23.095648,22.831154,28.06286
"198",28.54685,29.697506,52.827496,29.14472,23.104677,22.89539,27.812988
"199",28.65947,29.605679,52.912327,29.237242,23.158852,22.877039,28.053251
"200",28.578382,29.605679,52.855782,29.227991,23.086622,22.840336,28.06286
"201",28.704514,29.293463,52.554173,29.079952,23.06856,22.849506,28.120525
"202",28.65947,29.311827,52.497623,29.14472,23.158852,22.932098,28.331955
"203",28.542343,29.275095,52.054646,28.857899,23.203995,22.959631,27.985975
"204",28.344135,29.275095,51.960403,28.774628,23.285254,23.005508,27.678438
"205",28.605413,29.449572,52.318542,28.876402,23.249138,22.996336,27.995586
"206",28.488287,29.284277,52.450493,28.913408,23.321371,23.088102,28.005198
"207",28.326117,29.275095,52.733257,29.14472,23.321371,23.042212,28.120525
"208",28.497297,29.568951,53.129101,29.505558,23.285254,23.014683,28.495335
"209",28.488287,29.614861,53.091412,29.514809,23.316929,22.996336,28.389622
"210",28.704514,29.972996,53.685173,30.079197,23.280725,22.98715,28.764435
"211",28.749561,30.303577,54.231834,30.449289,23.235491,22.913746,29.033527
"212",28.578382,30.276031,54.392067,30.615833,23.298822,22.932098,29.216129
"213",28.290073,30.2393,54.467464,30.541813,23.289774,22.959631,29.168077
"214",28.470264,30.432138,54.476883,30.449289,23.344063,22.97798,28.783653
"215",28.425219,30.579063,54.693668,30.449289,23.271679,22.931955,28.956648
"216",28.497297,30.799452,54.872742,30.634336,23.416451,22.977983,28.774044
"217",28.380171,30.624989,54.825619,30.440041,23.380257,22.941156,28.629887
"218",28.10988,30.395409,55.051819,30.699106,23.380257,22.922741,28.581831
"219",28.425219,30.340311,54.844471,30.754618,23.371212,22.931955,28.754822
"220",28.578382,30.2393,55.004696,30.754618,23.335022,22.895124,28.629887
"221",28.425219,30.615799,55.080097,30.736115,23.262632,22.858295,28.639496
"222",28.542343,30.725994,54.882164,30.643587,23.244537,22.876715,28.831709
"223",28.389179,30.762728,54.919872,30.560318,23.226444,22.895124,28.620277
"224",28.380171,30.98312,54.901012,30.45854,23.262632,22.95957,28.447285
"225",28.560364,31.120857,54.872742,30.523314,23.25359,22.968773,28.68755
"226",28.407202,31.019842,54.66539,30.347517,23.262632,22.968773,28.68755
"227",27.911674,30.606617,53.788857,29.866396,23.461699,23.097662,27.909092
"228",27.911674,30.064829,53.958511,29.903406,23.470737,23.088451,28.014811
"229",28.245031,30.358677,53.949081,30.023687,23.488834,23.097662,28.139748
"230",28.290073,30.349501,54.34494,30.153221,23.449842,23.033222,28.437674
"231",28.172951,30.230112,54.099884,29.931162,23.449842,23.070038,28.466507
"232",28.15493,30.514786,54.580563,30.116207,23.495178,23.088451,28.476114
"233",28.145922,30.523972,54.53344,29.940416,23.513327,23.070038,28.456896
"234",28.16394,30.579063,54.835037,29.940416,23.540524,23.106871,28.447285
"235",28.064837,30.505604,54.495743,29.884899,23.540524,23.116062,28.235851
"236",28.037809,30.377047,54.655964,29.894156,23.549591,23.106871,28.216631
"237",28.272053,30.643345,55.08952,30.282747,23.53145,23.111473,28.735601
"238",28.208994,30.652534,55.193195,30.393776,23.604004,23.212921,28.927814
"239",28.172951,30.634167,55.098938,30.208733,23.604004,23.148375,28.764435
"240",28.254036,30.569887,54.797337,29.977427,23.631208,23.222139,28.754822
"241",28.10988,30.707626,55.221474,30.245741,23.576792,23.185257,28.754822
"242",28.16394,30.753546,55.174339,30.384525,23.576792,23.166809,29.168077
"243",28.299084,30.459686,54.910439,30.393776,23.540524,23.129919,29.283403
"244",28.127905,30.02809,54.354355,30.106956,23.486118,23.139143,29.216129
"245",28.10988,29.936262,54.184711,30.116207,23.350094,23.148375,29.350677
"246",27.749496,29.927082,54.175282,30.023687,23.467978,23.222139,29.187298
"247",27.74049,29.780155,54.222404,29.894156,23.477045,23.176035,29.05275
"248",27.776529,29.743422,54.01506,29.746119,23.477045,23.222139,28.956648
"249",27.920683,29.927082,54.420345,29.884899,23.431707,23.194477,29.187298
"250",27.69544,29.669962,54.278965,29.625837,23.522385,23.231365,28.908592
"251",27.679123,29.888725,54.495743,29.662848,23.55238,23.231365,28.831709
"252",27.833254,29.842573,54.118736,29.551819,23.55238,23.240591,28.947033
"253",28.014572,29.98103,54.248325,29.635088,23.597836,23.259037,29.121746
"254",28.023636,30.257948,54.219936,29.829388,23.625107,23.351259,29.160357
"255",27.996441,29.777958,53.50106,29.681355,23.452393,23.194477,28.948002
"256",28.132437,29.648727,53.368626,29.764622,23.406944,23.286694,29.334103
"257",27.878582,29.261045,52.829445,29.496305,23.31604,23.157581,29.14105
"258",27.787916,29.390274,52.782154,29.607332,23.31604,23.111473,29.150705
"259",27.733521,29.390274,52.990253,29.773876,23.170605,23.120695,29.420975
"260",27.778851,29.473347,52.971344,29.792379,23.188778,23.04772,29.208616
"261",27.606598,29.150278,52.498383,29.561069,23.188778,23.04772,28.851473
"262",27.506868,29.01182,52.488918,29.450043,23.097887,23.029245,29.131397
"263",27.697252,29.251812,52.545677,29.376024,23.106974,23.066198,28.98661
"264",27.74259,29.537962,52.659184,29.4778,23.116064,23.066198,29.073484
"265",27.778851,29.648727,52.299744,29.200232,23.125154,23.121622,29.314796
"266",27.74259,29.741037,52.328114,29.394531,23.016071,23.075432,29.314796
"267",27.842312,29.888725,52.242981,29.302008,23.061527,23.093904,29.36306
"268",27.79698,29.796421,52.413246,29.357519,23.070616,23.103138,29.420975
"269",27.787916,29.667191,52.167309,29.163223,23.106974,23.167803,29.343752
"270",27.969242,29.916414,52.347031,29.348267,23.079706,23.19552,29.62368
"271",27.987375,29.842573,52.337574,29.394531,23.088785,23.204758,29.652637
"272",27.842312,29.639498,52.063255,29.098457,23.104279,23.23247,29.507847
"273",27.760721,29.667191,51.921375,29.061447,23.067837,23.213995,29.546457
"274",27.905781,29.630264,52.053799,29.329765,22.903843,23.112387,29.816727
"275",27.851383,29.713339,51.807861,29.283501,22.967621,23.158571,29.652637
"276",27.869511,29.833342,52.195686,29.366772,22.867401,23.149334,29.440279
"277",27.760721,29.639498,51.66597,29.098457,22.803633,23.19552,29.392017
"278",27.787916,29.768724,51.770023,29.181726,22.812744,23.19552,29.314796
"279",27.887648,30.045645,52.176769,29.514809,22.940296,23.224209,29.372713
"280",27.978312,30.184103,52.337574,29.468548,23.004066,23.205694,29.073484
"281",27.869511,30.137949,52.252441,29.385277,23.049614,23.27047,28.880434
"282",27.987375,30.359484,52.659184,29.699854,23.049614,23.233456,29.034872
"283",27.969242,30.599483,52.697025,29.746119,22.958511,23.205694,29.005911
"284",27.896711,30.497944,52.838905,29.598082,23.004066,23.224209,28.745296
"285",27.633789,29.897953,52.271358,29.246494,23.104279,23.233456,28.233711
"286",27.588457,29.870264,52.120014,28.978176,23.08606,23.279718,28.253017
"287",27.733521,30.230253,52.801071,29.376024,23.08606,23.27047,28.668077
"288",27.715389,30.257948,52.895664,29.283501,23.040506,23.214952,28.446068
"289",27.665522,30.377951,52.451088,29.116962,23.07695,23.261219,28.446068
"290",27.579397,30.036415,51.86462,28.774628,23.08606,23.261219,27.944136
"291",27.425268,30.045645,51.363274,28.534067,23.095169,23.288975,27.953785
"292",27.434338,30.11026,51.391663,28.478554,23.058731,23.279718,27.924829
"293",27.506868,30.341022,51.88353,28.55257,23.024021,23.242708,28.214405
"294",27.651928,30.442562,51.628143,28.645092,23.08795,23.325987,28.185446
"295",27.66099,30.479483,51.438946,28.589581,23.042286,23.27047,28.262671
"296",27.633789,30.636404,51.344372,28.672852,23.060555,23.325987,28.339891
"297",27.597527,30.627174,51.438946,28.626591,23.060555,23.316732,28.446068
"298",27.670055,30.654869,51.590298,28.682104,23.115358,23.34449,28.475025
"299",27.778851,30.922554,52.242981,28.839396,23.124483,23.34449,28.639118
"300",27.942045,30.701015,51.978123,28.774628,23.124483,23.381495,28.909389
"301",27.905781,30.682556,51.656513,28.691357,23.014893,23.356478,29.073484
